trade_date,ticker,open,high,low,close,volume,ma5,ma20,ma60,slope5,slope20,slope60,ma_order_code,slope_code,ma_state_code,slope_state_code,day_state_code,state_seq_5d,trend_strength,action_bias
2025/8/8,SPY,634.0599976,637.6500244,633.7399902,637.1799927,64051600,632.2699951,630.597998,611.4275024,0.004432234,0.002281606,0.004601615,5>20>60,+++,a,1,a1,a5a5a5c5c5,0.003820922,
2025/8/11,SPY,637.460022,638.9500122,634.6599731,635.9199829,58742300,633.2199951,631.1534973,612.2330017,0.006478646,0.002469826,0.004043343,5>20>60,+++,a,1,a1,a5a5c5c5a1,0.004788939,
2025/8/12,SPY,638.289978,642.8499756,636.789978,642.6900024,64730800,636.1640015,632.1809967,613.1035014,0.011103393,0.003589342,0.004118974,5>20>60,+++,a,1,a1,a5c5c5a1a1,0.007452294,
2025/8/13,SPY,644.9099731,646.1900024,642.6799927,644.8900146,60092800,638.5859985,633.2144989,613.9483348,0.009989409,0.004149237,0.004122864,5>20>60,+++,a,1,a1,c5c5a1a1a1,0.007064048,
2025/8/14,SPY,642.789978,645.6199951,642.3400269,644.9500122,59327500,641.126001,634.0600006,614.7833354,0.012485401,0.004605066,0.004165626,5>20>60,+++,a,1,a1,c5a1a1a1a1,0.008457346,
2025/8/15,SPY,645.9899902,646.0900269,642.5200195,643.4400024,68592500,642.3780029,634.8529999,615.6265025,0.009767924,0.004226643,0.004115131,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.006974981,
2025/8/18,SPY,642.8599854,644,642.1799927,643.2999878,43804900,643.8540039,635.5794983,616.6338359,0.008249485,0.00373491,0.004374148,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.006120045,
2025/8/19,SPY,643.1199951,644.1099854,638.4799805,639.8099976,69750700,643.2780029,636.1269989,617.5791687,0.003356598,0.003259941,0.004547673,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.003565816,
2025/8/20,SPY,639.4000244,639.6599731,632.9500122,638.1099854,88890300,641.9219971,636.3219971,618.562502,-0.000709872,0.002313917,0.004769125,5>20>60,0++,a,5,a5,a1a1a1a1a1,0.002002936,
2025/8/21,SPY,636.2800293,637.9699707,633.8099976,635.5499878,54805800,640.0419922,636.3784973,619.3025014,-0.005920615,0.001257119,0.004327796,5>20>60,-0+,a,5,a5,a1a1a1a1a5,0.004203002,
